m    n        time   heap     comparisons
256  830464   27.41  2107982  1034865  
256  840704   30.77  2107982  1037677  
256  850944   30.85  2107982  1060724  
256  861184   28.24  2107982  1074806  
256  871424   28.55  2107982  1085685  
256  881664   28.60  2107982  1101582  
256  891904   27.26  2107982  1101571  
256  902144   28.55  2107982  1127726  
256  912384   31.98  2107982  1135976  
256  922624   28.33  2107982  1138358  
256  93184    7.09   272974   116185   
256  932864   31.10  2107982  1151261  
256  943104   32.26  2107982  1171788  
256  953344   33.11  2107982  1191503  
256  963584   29.07  2107982  1203778  
256  973824   32.25  2107982  1215552  
256  984064   31.87  2107982  1213586  
256  994304   31.42  2107982  1240209  
64   1004544  30.61  2106062  1239781  
64   1014784  29.07  2106062  1266458  
64   1024     3.65   10958    1281     
64   1025024  34.40  2106062  1276350  
64   103424   7.77   271054   128806   
64   1035264  29.27  2106062  1293239  
64   1045504  30.71  2106062  1307069  
64   11264    5.04   41678    14034    
64   113664   6.56   271054   141407   
64   123904   7.37   271054   155050   
64   134144   7.46   533198   165603   
64   144384   7.10   533198   180524   
64   154624   8.39   533198   193618   
64   164864   9.01   533198   205110   
64   175104   8.48   533198   218684   
64   185344   8.88   533198   228580   
64   195584   9.96   533198   244514   
64   205824   11.39  533198   256392   
64   21504    5.06   74446    26847    
64   216064   10.91  533198   270039   
64   226304   10.99  533198   279477   
64   236544   10.85  533198   295702   
64   246784   12.28  533198   308725   
64   257024   11.16  533198   321155   
64   267264   14.42  1057486  333908   
64   277504   11.44  1057486  342656   
64   287744   11.96  1057486  358639   
64   297984   12.98  1057486  369873   
64   308224   13.42  1057486  385129   
64   31744    5.93   74446    39476    
64   318464   12.42  1057486  393202   
64   328704   13.36  1057486  410326   
64   338944   16.40  1057486  418107   
64   349184   12.66  1057486  436327   
64   359424   13.39  1057486  449787   
64   369664   15.37  1057486  462432   
64   379904   13.55  1057486  471946   
64   390144   16.85  1057486  487937   
64   400384   15.60  1057486  500136   
64   410624   17.31  1057486  513321   
64   41984    5.25   139982   52606    
64   420864   14.97  1057486  525841   
64   431104   16.57  1057486  536823   
64   441344   19.40  1057486  551849   
64   451584   17.65  1057486  564428   
64   461824   16.45  1057486  577380   
64   472064   17.55  1057486  590414   
64   482304   17.95  1057486  595415   
64   492544   18.46  1057486  607659   
64   502784   19.72  1057486  628235   
64   513024   17.94  1057486  641253   
64   52224    5.54   139982   65130    
64   523264   19.70  1057486  653742   
64   533504   19.44  2106062  658346   
64   543744   19.70  2106062  677580   
64   553984   20.38  2106062  692305   
64   564224   20.08  2106062  705079   
64   574464   20.58  2106062  716096   
64   584704   21.26  2106062  730522   
64   594944   20.93  2106062  743589   
64   605184   21.97  2106062  755839   
64   615424   24.33  2106062  759253   
64   62464    5.53   139982   76941    
64   625664   21.71  2106062  782267   
64   635904   21.34  2106062  792221   
64   646144   22.75  2106062  797242   
64   656384   19.86  2106062  819934   
64   666624   24.19  2106062  823206   
64   676864   22.15  2106062  840906   
64   687104   21.15  2106062  858640   
64   697344   25.23  2106062  868141   
64   707584   23.78  2106062  883276   
64   717824   24.21  2106062  896197   
64   72704    5.74   271054   89690    
64   728064   25.03  2106062  898951   
64   738304   25.71  2106062  922871   
64   748544   25.08  2106062  924038   
64   758784   25.73  2106062  936720   
64   769024   23.17  2106062  960226   
64   779264   24.47  2106062  973407   
64   789504   26.67  2106062  974338   
64   799744   28.71  2106062  996170   
64   809984   26.25  2106062  999485   
64   820224   27.57  2106062  1024493  
64   82944    5.78   271054   103827   
64   830464   26.09  2106062  1024655  
64   840704   28.17  2106062  1043966  
