m    n        time   heap     comparisons
16   1004544  31.63  2105582  1255958  
16   1014784  29.07  2105582  1268101  
16   1024     4.13   10478    1269     
16   1025024  29.43  2105582  1281545  
16   103424   7.01   270574   129109   
16   1035264  38.33  2105582  1294114  
16   1045504  29.55  2105582  1290528  
16   11264    4.25   41198    14019    
16   113664   7.05   270574   141489   
16   123904   7.67   270574   154498   
16   134144   8.09   532718   165809   
16   144384   7.39   532718   178352   
16   154624   7.73   532718   193162   
16   164864   8.15   532718   203490   
16   175104   8.72   532718   215900   
16   185344   9.37   532718   230925   
16   195584   9.41   532718   244804   
16   205824   10.95  532718   257436   
16   21504    5.39   73966    26859    
16   216064   10.96  532718   270345   
16   226304   11.34  532718   279207   
16   236544   12.11  532718   295674   
16   246784   11.27  532718   308210   
16   257024   10.62  532718   321300   
16   267264   11.76  1057006  334016   
16   277504   13.11  1057006  346559   
16   287744   12.49  1057006  355258   
16   297984   11.94  1057006  372490   
16   308224   11.74  1057006  385151   
16   31744    5.21   73966    39770    
16   318464   13.19  1057006  393077   
16   328704   12.94  1057006  406168   
16   338944   14.41  1057006  418129   
16   349184   15.22  1057006  430857   
16   359424   12.35  1057006  443710   
16   369664   14.41  1057006  462357   
16   379904   14.70  1057006  474497   
16   390144   14.93  1057006  487674   
16   400384   15.06  1057006  493806   
16   410624   15.90  1057006  512521   
16   41984    5.60   139502   51844    
16   420864   15.37  1057006  526043   
16   431104   13.55  1057006  532419   
16   441344   16.52  1057006  544682   
16   451584   16.83  1057006  564344   
16   461824   18.55  1057006  577044   
16   472064   17.17  1057006  590108   
16   482304   17.13  1057006  602743   
16   492544   19.20  1057006  607413   
16   502784   17.54  1057006  628486   
16   513024   18.85  1057006  633792   
16   52224    6.40   139502   65196    
16   523264   20.47  1057006  645723   
16   533504   20.14  2105582  667084   
16   543744   20.51  2105582  677728   
16   553984   18.93  2105582  692124   
16   564224   20.78  2105582  705257   
16   574464   20.20  2105582  718016   
16   584704   19.93  2105582  721880   
16   594944   20.31  2105582  743933   
16   605184   22.26  2105582  753645   
16   615424   21.33  2105582  769377   
16   62464    6.90   139502   77855    
16   625664   22.55  2105582  772310   
16   635904   22.93  2105582  794850   
16   646144   20.40  2105582  808123   
16   656384   22.58  2105582  820410   
16   666624   21.85  2105582  832846   
16   676864   22.81  2105582  845665   
16   687104   21.94  2105582  848050   
16   697344   20.87  2105582  868175   
16   707584   23.21  2105582  873788   
16   717824   25.34  2105582  897197   
16   72704    5.06   270574   90960    
16   728064   25.48  2105582  909546   
16   738304   24.26  2105582  922159   
16   748544   26.28  2105582  930177   
16   758784   28.97  2105582  947852   
16   769024   25.34  2105582  958859   
16   779264   25.37  2105582  973359   
16   789504   28.01  2105582  983453   
16   799744   26.00  2105582  999624   
16   809984   26.92  2105582  1012248  
16   820224   26.31  2105582  1024657  
16   82944    4.88   270574   103846   
16   830464   26.31  2105582  1024734  
16   840704   28.38  2105582  1047217  
16   850944   35.50  2105582  1062699  
16   861184   31.78  2105582  1076386  
16   871424   27.01  2105582  1088990  
16   881664   30.09  2105582  1088062  
16   891904   26.53  2105582  1115271  
16   902144   27.33  2105582  1127246  
16   912384   28.43  2105582  1135701  
16   922624   26.81  2105582  1145363  
16   93184    8.04   270574   116557   
16   932864   29.67  2105582  1161925  
16   943104   31.55  2105582  1178621  
16   953344   29.61  2105582  1190932  
16   963584   28.93  2105582  1188546  
16   973824   28.73  2105582  1215755  
16   984064   30.80  2105582  1229102  
16   994304   33.58  2105582  1239137  
